Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
169,Jonnu Smith,PIT,TE,30,3,1,0,0,0,0,0,0,0,,0,13,12,65,5.42,1,1,0,1,,,13,24.5,24.5,18.5,,21,,SmitJo01
170,Jake Tonges,SFO,TE,26,3,1,0,0,0,0,0,0,0,,0,11,9,67,7.44,1,0,0,1,,,13,21.7,21.7,17.2,,20,,TongJa00
171,Zach Charbonnet,SEA,RB,24,2,0,0,0,0,0,0,27,57,2.11,1,0,0,0,,0,0,0,1,,,12,11.7,11.7,11.7,,48,,CharZa00
172,Noah Fant,CIN,TE,28,3,2,0,0,0,0,0,0,0,,0,14,12,80,6.67,1,1,1,1,,,12,24.0,25.0,18.0,,22,,FantNo00
173,David Njoku,CLE,TE,29,3,3,0,0,0,0,0,0,0,,0,18,12,117,9.75,0,0,0,0,,,12,23.7,26.7,17.7,,24,,NjokDa00
174,Chigoziem Okonkwo,TEN,TE,26,3,3,0,0,0,0,0,0,0,,0,16,12,120,10.00,0,0,0,0,,,12,24.0,27.0,18.0,,23,,OkonCh00
175,JuJu Smith-Schuster,KAN,WR,29,3,2,0,0,0,0,0,0,0,,0,12,10,115,11.50,0,0,0,0,,,12,21.5,24.5,16.5,,67,,SmitJu00
176,Tyrone Tracy Jr.,NYG,RB,26,3,2,0,0,0,0,0,22,68,3.09,0,13,8,54,6.75,0,0,0,0,,,12,20.2,20.2,16.2,,47,,TracTy00
177,AJ Barner,SEA,TE,23,3,3,0,0,0,0,0,2,4,2.00,0,6,4,49,12.25,1,0,0,1,,,11,15.3,15.3,13.3,,25,,BarnAJ00
178,Stefon Diggs,NWE,WR,32,3,3,0,0,0,0,0,0,0,,0,15,13,112,8.62,0,0,0,0,,,11,24.2,27.2,17.7,,69,,DiggSt00
179,Ollie Gordon,MIA,RB,21,3,0,0,0,0,0,0,12,50,4.17,1,2,2,4,2.00,0,0,0,1,,,11,13.4,13.4,12.4,,49,,GordOl00
180,RJ Harvey,DEN,RB,24,3,1,0,0,0,0,0,13,80,6.15,0,6,5,29,5.80,0,0,0,0,,,11,15.9,15.9,13.4,,50,,HarvRJ00
181,Isiah Pacheco,KAN,RB,26,3,3,0,0,0,0,0,25,92,3.68,0,6,4,13,3.25,0,0,0,0,,,11,14.5,14.5,12.5,,51,,PachIs00
182,Josh Palmer,BUF,WR,26,3,1,0,0,0,0,0,0,0,,0,13,8,113,14.13,0,0,0,0,,,11,19.3,22.3,15.3,,68,,PalmJo00
183,Jayden Reed,GNB,WR,25,2,1,0,0,0,0,0,0,0,,0,5,3,45,15.00,1,0,0,1,,,11,13.5,13.5,12.0,,72,,ReedJa03
184,Calvin Ridley,TEN,WR,31,3,3,0,0,0,0,0,0,0,,0,21,8,111,13.88,0,0,0,0,,,11,19.1,22.1,15.1,,70,,RidlCa00
185,Parker Washington,JAX,WR,23,3,0,0,0,0,0,0,0,0,,0,16,9,110,12.22,0,0,0,0,,,11,20.0,23.0,15.5,,71,,WashPa01
186,Josh Downs,IND,WR,24,3,2,0,0,0,0,0,0,0,,0,14,10,97,9.70,0,0,0,0,,,10,19.7,19.7,14.7,,76,,DownJo00
