Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV
Ja'Marr Chase,WR,1,No,FALSE,164.65,241.8,107.18,333.85,1,1.1,0.1
Bijan Robinson,RB,1,No,FALSE,141.00,262.2,80.14,315.8,2,3.4,1.4
Justin Jefferson,WR,2,No,FALSE,139.50,216.65,82.03,308.7,3,4.4,1.4
Saquon Barkley,RB,2,No,FALSE,135.50,256.7,74.64,310.3,4,2.4,-1.6
CeeDee Lamb,WR,3,No,FALSE,132.40,209.55,74.93,301.6,5,5.9,0.9
Jahmyr Gibbs,RB,3,No,FALSE,132.10,253.3,71.24,306.9,6,5.6,-0.4
Puka Nacua,WR,4,No,FALSE,129.50,206.65,72.03,298.7,7,8,1
Christian McCaffrey,RB,4,No,FALSE,121.00,242.2,60.14,295.8,8,13.8,5.8
Amon-Ra St. Brown,WR,5,No,FALSE,112.95,190.1,55.48,282.15,9,7.6,-1.4
Malik Nabers,WR,6,No,FALSE,112.60,189.75,55.13,281.8,10,9.1,-0.9
De'Von Achane,RB,5,No,FALSE,108.20,229.4,47.34,283,11,15.4,4.4
Brock Bowers,TE,1,No,FALSE,105.15,128.05,72.46,245.4,12,16.1,4.1
Trey McBride,TE,2,No,FALSE,104.60,127.5,71.91,244.85,13,25,12
Nico Collins,WR,7,No,FALSE,104.20,181.35,46.73,273.4,14,11.4,-2.6
Ashton Jeanty,RB,6,Yes,FALSE,103.50,224.7,42.64,278.3,15,11.1,-3.9
Brian Thomas,WR,8,No,FALSE,101.00,178.15,43.53,270.2,16,14.5,-1.5
Derrick Henry,RB,7,No,FALSE,97.60,218.8,36.74,272.4,17,10.7,-6.3
Jonathan Taylor,RB,8,No,FALSE,94.70,215.9,33.84,269.5,18,23.1,5.1
Josh Jacobs,RB,9,No,FALSE,93.90,215.1,33.04,268.7,19,20.5,1.5
Bucky Irving,RB,10,No,FALSE,90.50,211.7,29.64,265.3,20,19.5,-0.5
A.J. Brown,WR,9,No,FALSE,90.30,167.45,32.83,259.5,21,17.4,-3.6
Drake London,WR,10,No,FALSE,87.55,164.7,30.08,256.75,22,17.6,-4.4
Tyreek Hill,WR,11,No,FALSE,82.80,159.95,25.33,252,23,27.7,4.7
Ladd McConkey,WR,12,No,FALSE,82.75,159.9,25.28,251.95,24,22.6,-1.4
Josh Allen,QB,1,No,FALSE,81.20,215.2,48.46,360.1,25,21,-4
Jayden Daniels,QB,2,No,FALSE,79.05,213.05,46.31,357.95,26,31.6,5.6
Kyren Williams,RB,11,No,FALSE,77.50,198.7,16.64,252.3,27,28.2,1.2
Lamar Jackson,QB,3,No,FALSE,77.25,211.25,44.51,356.15,28,23.4,-4.6
George Kittle,TE,3,No,FALSE,76.55,99.45,43.86,216.8,29,38.6,9.6
Terry McLaurin,WR,13,No,FALSE,74.35,151.5,16.88,243.55,30,34.2,4.2
Jalen Hurts,QB,4,No,FALSE,73.45,207.45,40.71,352.35,31,39.6,8.6
Tee Higgins,WR,14,No,FALSE,73.00,150.15,15.53,242.2,32,29.7,-2.3
James Cook,RB,12,No,FALSE,71.50,192.7,10.64,246.3,33,35.6,2.6
Rashee Rice,WR,15,No,FALSE,68.75,145.9,11.28,237.95,34,43.6,9.6
