Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV
Davante Adams,WR,16,No,FALSE,68.05,145.2,10.58,237.25,35,41.6,6.6
Chase Brown,RB,13,No,FALSE,65.90,187.1,5.04,240.7,36,29.2,-6.8
Mike Evans,WR,17,No,FALSE,65.65,142.8,8.18,234.85,37,37.5,0.5
Alvin Kamara,RB,14,No,FALSE,65.00,186.2,4.14,239.8,38,41.3,3.3
Jaxon Smith-Njigba,WR,18,No,FALSE,63.40,140.55,5.93,232.6,39,26.9,-12.1
Garrett Wilson,WR,19,No,FALSE,63.10,140.25,5.63,232.3,40,32.5,-7.5
Chuba Hubbard,RB,15,No,FALSE,61.85,183.05,0.99,236.65,41,47.3,6.3
James Conner,RB,16,No,FALSE,61.15,182.35,0.29,235.95,42,52.9,10.9
Joe Mixon,RB,17,No,FALSE,60.45,181.65,-0.41,235.25,43,51.1,8.1
DJ Moore,WR,20,No,FALSE,55.20,132.35,-2.27,224.4,44,46.2,2.2
DK Metcalf,WR,21,No,FALSE,55.15,132.3,-2.32,224.35,45,47.4,2.4
Marvin Harrison,WR,22,No,FALSE,53.95,131.1,-3.52,223.15,46,35.7,-10.3
Courtland Sutton,WR,23,No,FALSE,53.75,130.9,-3.72,222.95,47,50,3
Omarion Hampton,RB,18,Yes,FALSE,53.60,174.8,-7.26,228.4,48,44.3,-3.7
Breece Hall,RB,19,No,FALSE,51.05,172.25,-9.81,225.85,49,33,-16
Xavier Worthy,WR,24,No,FALSE,49.35,126.5,-8.12,218.55,50,55.9,5.9
Joe Burrow,QB,5,No,FALSE,48.00,182,15.26,326.9,51,40,-11
Kenneth Walker,RB,20,No,FALSE,46.80,168,-14.06,221.6,52,45.9,-6.1
Sam LaPorta,TE,4,No,FALSE,46.10,69,13.41,186.35,53,49.5,-3.5
Calvin Ridley,WR,25,No,FALSE,45.65,122.8,-11.82,214.85,54,75.3,21.3
DeVonta Smith,WR,26,No,FALSE,44.65,121.8,-12.82,213.85,55,53,-2
Zay Flowers,WR,27,No,FALSE,44.35,121.5,-13.12,213.55,56,53.9,-2.1
Travis Hunter,WR,28,Yes,FALSE,43.50,120.65,-13.97,212.7,57,63.2,6.2
Patrick Mahomes,QB,6,No,FALSE,42.25,176.25,9.51,321.15,58,58.7,0.7
Jerry Jeudy,WR,29,No,FALSE,41.85,119,-15.62,211.05,59,73,14
Jaylen Waddle,WR,29,No,FALSE,41.85,119,-15.62,211.05,59,67.2,8.2
George Pickens,WR,31,No,FALSE,41.70,118.85,-15.77,210.9,61,59.3,-1.7
Jameson Williams,WR,32,No,FALSE,39.65,116.8,-17.82,208.85,62,59.7,-2.3
Jordan Addison,WR,33,No,FALSE,38.55,115.7,-18.92,207.75,63,71.5,8.5
T.J. Hockenson,TE,5,No,FALSE,37.80,60.7,5.11,178.05,64,57.4,-6.6
Tetairoa McMillan,WR,34,Yes,FALSE,36.85,114,-20.62,206.05,65,62,-3
Rome Odunze,WR,35,No,FALSE,35.15,112.3,-22.32,204.35,66,80.5,14.5
Jakobi Meyers,WR,36,No,FALSE,33.60,110.75,-23.87,202.8,67,82.8,15.8
Travis Kelce,TE,6,No,FALSE,30.50,53.4,-2.19,170.75,68,66,-2
Jauan Jennings,WR,37,No,FALSE,29.85,107,-27.62,199.05,69,95.6,26.6
Baker Mayfield,QB,7,No,FALSE,28.60,162.6,-4.14,307.5,70,68.3,-1.7
Mark Andrews,TE,7,No,FALSE,28.20,51.1,-4.49,168.45,71,79.3,8.3
RJ Harvey,RB,21,Yes,FALSE,27.62,148.82,-33.24,202.42,72,61.1,-10.9
Quinshon Judkins,RB,22,Yes,FALSE,27.30,148.5,-33.56,202.1,73,71.6,-1.4
Bo Nix,QB,8,No,FALSE,26.70,160.7,-6.04,305.6,74,76.3,2.3
David Njoku,TE,8,No,FALSE,26.70,49.6,-5.99,166.95,75,94.9,19.9
D'Andre Swift,RB,23,No,FALSE,26.70,147.9,-34.16,201.5,75,74.7,-0.3
Brock Purdy,QB,9,No,FALSE,26.20,160.2,-6.54,305.1,77,109.8,32.8
Tony Pollard,RB,24,No,FALSE,24.70,145.9,-36.16,199.5,78,77,-1
Chris Olave,WR,38,No,FALSE,23.75,100.9,-33.72,192.95,79,70.8,-8.2
Aaron Jones,RB,25,No,FALSE,23.35,144.55,-37.51,198.15,80,69.1,-10.9
Chris Godwin,WR,39,No,FALSE,22.85,100,-34.62,192.05,81,77.6,-3.4
David Montgomery,RB,26,No,FALSE,21.10,142.3,-39.76,195.9,82,56.7,-25.3
Khalil Shakir,WR,40,No,FALSE,20.25,97.4,-37.22,189.45,83,83.1,0.1
Deebo Samuel,WR,41,No,FALSE,20.20,97.35,-37.27,189.4,84,86,2
Kyler Murray,QB,10,No,FALSE,19.95,153.95,-12.79,298.85,85,97.7,12.7
Isiah Pacheco,RB,27,No,FALSE,19.70,140.9,-41.16,194.5,86,64.3,-21.7
TreVeyon Henderson,RB,28,Yes,FALSE,18.90,140.1,-41.96,193.7,87,65.5,-21.5
Matthew Golden,WR,42,Yes,FALSE,18.70,95.85,-38.77,187.9,88,98.3,10.3
Cooper Kupp,WR,43,No,FALSE,18.30,95.45,-39.17,187.5,89,87.8,-1.2
Evan Engram,TE,9,No,FALSE,17.75,40.65,-14.94,158,90,88.9,-1.1
Kaleb Johnson,RB,29,Yes,FALSE,14.40,135.6,-46.46,189.2,91,81.5,-9.5
Ricky Pearsall,WR,44,No,FALSE,14.15,91.3,-43.32,183.35,92,101.5,9.5
Dallas Goedert,TE,10,No,FALSE,11.85,34.75,-20.84,152.1,93,127.8,34.8
Colston Loveland,TE,11,Yes,FALSE,10.70,33.6,-21.99,150.95,94,107.1,13.1
Justin Fields,QB,11,No,FALSE,9.85,143.85,-22.89,288.75,95,136.2,41.2
Jaylen Warren,RB,30,No,FALSE,9.30,130.5,-51.56,184.1,96,92.5,-3.5
Tucker Kraft,TE,12,No,FALSE,8.40,31.3,-24.29,148.65,97,117.4,20.4
Jayden Reed,WR,45,No,FALSE,8.35,85.5,-49.12,177.55,98,99.2,1.2
Jake Ferguson,TE,13,No,FALSE,6.85,29.75,-25.84,147.1,99,119.7,20.7
Rashid Shaheed,WR,46,No,FALSE,6.15,83.3,-51.32,175.35,100,134.2,34.2
Jonnu Smith,TE,14,No,FALSE,6.05,28.95,-26.64,146.3,101,89.3,-11.7
Tyler Warren,TE,15,Yes,FALSE,5.80,28.7,-26.89,146.05,102,95.2,-6.8
MIchael Pittman,WR,47,No,FALSE,4.75,81.9,-52.72,173.95,103,115.5,12.5
Justin Herbert,QB,12,No,FALSE,4.05,138.05,-28.69,282.95,104,105.3,1.3
J.J. McCarthy,QB,13,No,FALSE,3.90,137.9,-28.84,282.8,105,141.4,36.4
Dak Prescott,QB,14,No,FALSE,1.95,135.95,-30.79,280.85,106,121.4,15.4
Tyrone Tracy,RB,31,No,FALSE,1.50,122.7,-59.36,176.3,107,85.2,-21.8
Caleb Williams,QB,15,No,FALSE,1.40,135.4,-31.34,280.3,108,118.5,10.5
Hunter Henry,TE,16,No,FALSE,0.00,22.9,-32.69,140.25,109,167.7,58.7
C.J. Stroud,QB,16,No,FALSE,0.00,134,-32.74,278.9,109,122.6,13.6
Darnell Mooney,WR,48,No,FALSE,0.00,77.15,-57.47,169.2,109,111.5,2.5
Brian Robinson,RB,32,No,FALSE,0.00,121.2,-60.86,174.8,109,83,-26
Dalton Kincaid,TE,17,No,FALSE,-0.55,22.35,-33.24,139.7,113,113.1,0.1
Darren Waller,TE,18,No,FALSE,-1.80,21.1,-34.49,138.45,114,229.5,115.5
Jared Goff,QB,17,No,FALSE,-1.95,132.05,-34.69,276.95,115,91.8,-23.2
Trevor Lawrence,QB,18,No,FALSE,-2.10,131.9,-34.84,276.8,116,167.1,51.1
Drake Maye,QB,19,No,FALSE,-2.30,131.7,-35.04,276.6,117,139.9,22.9
Stefon Diggs,WR,49,No,FALSE,-2.75,74.4,-60.22,166.45,118,89.7,-28.3
Zach Ertz,TE,19,No,FALSE,-3.45,19.45,-36.14,136.8,119,149.9,30.9
Keon Coleman,WR,50,No,FALSE,-4.40,72.75,-61.87,164.8,120,119.4,-0.6
Josh Downs,WR,51,No,FALSE,-4.75,72.4,-62.22,164.45,121,101.8,-19.2
MIke Gesicki,TE,20,No,FALSE,-6.85,16.05,-39.54,133.4,122,191,69
Kyle Pitts,TE,21,No,FALSE,-8.60,14.3,-41.29,131.65,123,125.8,2.8
Jayden Higgins,WR,52,Yes,FALSE,-10.05,67.1,-67.52,159.15,124,116,-8
Pat Freiermuth,TE,22,No,FALSE,-10.10,12.8,-42.79,130.15,125,194.2,69.2
Marvin Mims,WR,53,No,FALSE,-11.15,66,-68.62,158.05,126,138,12
Jordan Love,QB,20,No,FALSE,-12.05,121.95,-44.79,266.85,127,125,-2
Travis Etienne,RB,33,No,FALSE,-12.70,108.5,-73.56,162.1,128,93.1,-34.9
Brenton Strange,TE,23,No,FALSE,-13.00,9.9,-45.69,127.25,129,173.2,44.2
Chig Okonkwo,TE,24,No,FALSE,-14.45,8.45,-47.14,125.8,130,215.8,85.8
Jack Bech,WR,54,Yes,FALSE,-14.70,62.45,-72.17,154.5,131,164.9,33.9
Cade Otton,TE,25,No,FALSE,-15.35,7.55,-48.04,124.9,132,205.3,73.3
Javonte Williams,RB,34,No,FALSE,-15.90,105.3,-76.76,158.9,133,106.3,-26.7
Adam Thielen,WR,55,No,FALSE,-16.10,61.05,-73.57,153.1,134,169.1,35.1
Rhamondre Stevenson,RB,35,No,FALSE,-16.70,104.5,-77.56,158.1,135,113.8,-21.2
Tua Tagovailoa,QB,21,No,FALSE,-17.10,116.9,-49.84,261.8,136,197.1,61.1
Matthew Stafford,QB,22,No,FALSE,-19.05,114.95,-51.79,259.85,137,191.6,54.6
Dalton Schultz,TE,26,No,FALSE,-20.50,2.4,-53.19,119.75,138,219.1,81.1
Bryce Young,QB,23,No,FALSE,-22.60,111.4,-55.34,256.3,139,190.5,51.5
Mason Taylor,TE,27,Yes,FALSE,-22.90,0,-55.59,117.35,140,196.6,56.6
Emeka Egbuka,WR,56,Yes,FALSE,-23.25,53.9,-80.72,145.95,141,108,-33
Geno Smith,QB,24,No,FALSE,-24.55,109.45,-57.29,254.35,142,211.3,69.3
Cameron Ward,QB,25,Yes,FALSE,-25.25,108.75,-57.99,253.65,143,149.5,6.5
Tre' Harris,WR,57,Yes,FALSE,-25.55,51.6,-83.02,143.65,144,133.7,-10.3
Wan'Dale Robinson,WR,58,No,FALSE,-27.45,49.7,-84.92,141.75,145,193.7,48.7
Michael Penix,QB,26,No,FALSE,-28.30,105.7,-61.04,250.6,146,170.3,24.3
Cam Skattebo,RB,36,No,FALSE,-29.05,92.15,-89.91,145.75,147,100.3,-46.7
Isaiah Likely,TE,28,No,FALSE,-29.45,-6.55,-62.14,110.8,148,148.9,0.9
Hollywood Brown,WR,59,No,FALSE,-29.75,47.4,-87.22,139.45,149,172,23
Sam Darnold,QB,27,No,FALSE,-30.25,103.75,-62.99,248.65,150,212.8,62.8
J.K. Dobbins,RB,37,No,FALSE,-30.55,90.65,-91.41,144.25,151,123.1,-27.9
Rashod Bateman,WR,60,No,FALSE,-31.25,45.9,-88.72,137.95,152,163.3,11.3
Cedric Tillman,WR,61,No,FALSE,-32.25,44.9,-89.72,136.95,153,188.2,35.2
Theo Johnson,TE,29,No,FALSE,-32.55,-9.65,-65.24,107.7,154,254.5,100.5
Austin ekeler,RB,38,No,FALSE,-33.05,88.15,-93.91,141.75,155,151.3,-3.7
Ja'Tavion Sanders,TE,30,No,FALSE,-37.00,-14.1,-69.69,103.25,156,248.9,92.9
Luther Burden,WR,62,Yes,FALSE,-38.30,38.85,-95.77,130.9,157,140.9,-16.1
Christian Kirk,WR,63,No,FALSE,-38.35,38.8,-95.82,130.85,158,146.3,-11.7
Noah Fant,TE,31,No,FALSE,-39.55,-16.65,-72.24,100.7,159,,-159
Tyjae spears,RB,39,No,FALSE,-40.05,81.15,-100.91,134.75,160,124.7,-35.3
Juwan Johnson,TE,32,No,FALSE,-41.60,-18.7,-74.29,98.65,161,256.9,95.9
Najee Harris,RB,40,No,FALSE,-42.15,79.05,-103.01,132.65,162,103,-59
Aaron Rodgers,QB,28,No,FALSE,-43.20,90.8,-75.94,235.7,163,207.8,44.8
Brandon Aiyuk,WR,64,No,FALSE,-43.25,33.9,-100.72,125.95,164,104.6,-59.4
Kyle Williams,WR,65,Yes,FALSE,-44.10,33.05,-101.57,125.1,165,143.8,-21.2
Xavier Legette,WR,66,No,FALSE,-44.90,32.25,-102.37,124.3,166,178.8,12.8
Jordan Mason,RB,41,No,FALSE,-46.20,75,-107.06,128.6,167,110,-57
Romeo Doubs,WR,67,No,FALSE,-49.55,27.6,-107.02,119.65,168,209,41
DeMario Douglas,WR,68,No,FALSE,-50.70,26.45,-108.17,118.5,169,206.1,37.1
Anthony Richardson,QB,29,No,FALSE,-51.90,82.1,-84.64,227,170,213.3,43.3
Tyler Conklin,TE,33,No,FALSE,-52.75,-29.85,-85.44,87.5,171,298.1,127.1
Zach Charbonnet,RB,42,No,FALSE,-53.60,67.6,-114.46,121.2,172,112.4,-59.6
Jalen McMillan,WR,69,No,FALSE,-56.30,20.85,-113.77,112.9,173,176,3
Quentin Johnston,WR,70,No,FALSE,-56.45,20.7,-113.92,112.75,174,199.2,25.2
Rachaad White,RB,43,No,FALSE,-56.90,64.3,-117.76,117.9,175,137.9,-37.1
Darius Slayton,WR,71,No,FALSE,-56.95,20.2,-114.42,112.25,176,253.9,77.9
Will Dissly,TE,34,No,FALSE,-60.40,-37.5,-93.09,79.85,177,,-177
Michael Wilson,WR,72,No,FALSE,-61.15,16,-118.62,108.05,178,252,74
Tyler Lockett,WR,73,No,FALSE,-61.65,15.5,-119.12,107.55,179,221.8,42.8
Noah Gray,TE,35,No,FALSE,-62.70,-39.8,-95.39,77.55,180,260.7,80.7
Elijah Arroyo,TE,36,Yes,FALSE,-63.00,-40.1,-95.69,77.25,181,203.9,22.9
Nick Westbrook-Ikhine,WR,74,No,FALSE,-64.70,12.45,-122.17,104.5,182,500,318
Joshua Palmer,WR,75,No,FALSE,-64.85,12.3,-122.32,104.35,183,200.8,17.8
Calvin Austin,WR,76,No,FALSE,-66.85,10.3,-124.32,102.35,184,235,51
Trey Benson,RB,44,No,FALSE,-70.00,51.2,-130.86,104.8,185,165.6,-19.4
Allen Lazard,WR,77,No,FALSE,-71.45,5.7,-128.92,97.75,186,,-186
Alec Pierce,WR,78,No,FALSE,-72.55,4.6,-130.02,96.65,187,218.9,31.9
Justice Hill,RB,45,No,FALSE,-72.70,48.5,-133.56,102.1,188,214.2,26.2
Brandin Cooks,WR,79,No,FALSE,-73.35,3.8,-130.82,95.85,189,,-189
Tank Bigsby,RB,46,No,FALSE,-73.50,47.7,-134.36,101.3,190,142,-48
Jalen Tolbert,WR,80,No,FALSE,-73.70,3.45,-131.17,95.5,191,,-191
Pat Bryant,WR,81,Yes,FALSE,-73.80,3.35,-131.27,95.4,192,208.8,16.8
Cole Kmet,TE,37,No,FALSE,-73.85,-50.95,-106.54,66.4,193,261.8,68.8
Tutu Atwell,WR,82,No,FALSE,-74.05,3.1,-131.52,95.15,194,296.7,102.7
tyler Allgeier,RB,47,No,FALSE,-74.20,47,-135.06,100.6,195,175.1,-19.9
Jalen Coker,WR,83,No,FALSE,-74.60,2.55,-132.07,94.6,196,244.7,48.7
Jordan Whittington,WR,84,No,FALSE,-77.15,0,-134.62,92.05,197,292.7,95.7
DeAndre Hopkins,WR,85,No,FALSE,-77.40,-0.25,-134.87,91.8,198,201.1,3.1
Jaleel Mclaughlin,RB,48,No,FALSE,-78.45,42.75,-139.31,96.35,199,299.2,100.2
Adonai Mitchell,WR,86,No,FALSE,-79.40,-2.25,-136.87,89.8,200,262.5,62.5
Ray Davis,RB,49,No,FALSE,-80.10,41.1,-140.96,94.7,201,166.7,-34.3
Jaydon Blue,RB,49,No,FALSE,-80.10,41.1,-140.96,94.7,201,135,-66
Kavontae Turpin,WR,87,No,FALSE,-82.20,-5.05,-139.67,87,203,500,297
Harold Fannin,TE,38,Yes,FALSE,-83.90,-61,-116.59,56.35,204,263.3,59.3
Isaac Guerendo,RB,51,No,FALSE,-85.10,36.1,-145.96,89.7,205,147.8,-57.2
Dyami Brown,WR,88,No,FALSE,-87.10,-9.95,-144.57,82.1,206,245.6,39.6
Terrance Ferguson,TE,39,Yes,FALSE,-87.30,-64.4,-119.99,52.95,207,239,32
Bhayshul Tuten,RB,52,No,FALSE,-88.55,32.65,-149.41,86.25,208,145.1,-62.9
Rico Dowdle,RB,53,No,FALSE,-88.90,32.3,-149.76,85.9,209,173,-36
Jaylin Noel,WR,89,Yes,FALSE,-89.50,-12.35,-146.97,79.7,210,223.9,13.9
Josh Reynolds,WR,90,No,FALSE,-90.00,-12.85,-147.47,79.2,211,500,289
Roschon Johnson,RB,54,No,FALSE,-91.30,29.9,-152.16,83.5,212,202.9,-9.1
Jaylen Wright,RB,55,No,FALSE,-92.60,28.6,-153.46,82.2,213,197.1,-15.9
Troy Franklin,WR,91,No,FALSE,-93.50,-16.35,-150.97,75.7,214,297,83
Jerome Ford,RB,56,No,FALSE,-93.55,27.65,-154.41,81.25,215,177.2,-37.8
Kendre Miller,RB,57,No,FALSE,-94.00,27.2,-154.86,80.8,216,287.5,71.5
Andrei Iosivas,WR,92,No,FALSE,-94.15,-17,-151.62,75.05,217,280.1,63.1
Nick Chubb,RB,58,No,FALSE,-94.30,26.9,-155.16,80.5,218,143.4,-74.6
Noah Brown,WR,93,No,FALSE,-95.35,-18.2,-152.82,73.85,219,500,281
Kareem Hunt,RB,59,No,FALSE,-95.50,25.7,-156.36,79.3,220,203.6,-16.4
Keenan Allen,WR,94,No,FALSE,-96.00,-18.85,-153.47,73.2,221,215.2,-5.8
Demarcus Robinson,WR,95,No,FALSE,-97.40,-20.25,-154.87,71.8,222,500,278
Braelon Allen,RB,60,No,FALSE,-100.05,21.15,-160.91,74.75,223,195.4,-27.6
Tre Tucker,WR,96,No,FALSE,-101.05,-23.9,-158.52,68.15,224,,-224
Greg Dortch,WR,97,No,FALSE,-102.00,-24.85,-159.47,67.2,225,500,275
Elic Ayomanor,WR,98,No,FALSE,-103.25,-26.1,-160.72,65.95,226,239.9,13.9
Curtis Samuel,WR,99,No,FALSE,-104.20,-27.05,-161.67,65,227,500,273
Jalen Nailor,WR,100,No,FALSE,-105.00,-27.85,-162.47,64.2,228,,-228
Jalen Royals,WR,101,No,FALSE,-106.75,-29.6,-164.22,62.45,229,226.7,-2.3
Dontayvion Wicks,WR,102,No,FALSE,-107.60,-30.45,-165.07,61.6,230,263.1,33.1
Dylan Sampson,RB,61,No,FALSE,-108.50,12.7,-169.36,66.3,231,171.9,-59.1
Malik Washington,WR,103,No,FALSE,-109.35,-32.2,-166.82,59.85,232,,-232
Blake Corum,RB,62,No,FALSE,-109.35,11.85,-170.21,65.45,233,209.9,-23.1
Tai Felton,WR,104,Yes,FALSE,-109.85,-32.7,-167.32,59.35,234,,-234
Marquez Valdes-Scantling,WR,105,No,FALSE,-110.05,-32.9,-167.52,59.15,235,289.8,54.8
Chimere Dike,WR,106,No,FALSE,-111.15,-34,-168.62,58.05,236,,-236
Raheem Mostert,RB,63,No,FALSE,-112.15,9.05,-173.01,62.65,237,242.4,5.4
Amari Cooper,WR,107,No,FALSE,-112.70,-35.55,-170.17,56.5,238,245.4,7.4
Malachi Corley,WR,108,No,FALSE,-113.20,-36.05,-170.67,56,239,,-239
Devaughn Vele,WR,109,No,FALSE,-113.65,-36.5,-171.12,55.55,240,,-240
Marshawn Lloyd,RB,64,No,FALSE,-116.60,4.6,-177.46,58.2,241,243.4,2.4
Devin Neal,RB,65,No,FALSE,-118.85,2.35,-179.71,55.95,242,225.6,-16.4
Ty Johnson,RB,66,No,FALSE,-121.20,0,-182.06,53.6,243,500,257
Miles Sanders,RB,67,No,FALSE,-121.65,-0.45,-182.51,53.15,244,238.7,-5.3
Zack Moss,RB,68,No,FALSE,-122.65,-1.45,-183.51,52.15,245,291.2,46.2
Van Jefferson,WR,110,No,FALSE,-122.95,-45.8,-180.42,46.25,246,500,254
Gabe Davis,WR,111,No,FALSE,-123.15,-46,-180.62,46.05,247,500,253
Tory Horton,WR,112,No,FALSE,-126.20,-49.05,-183.67,43,248,293,45
Dameon Pierce,RB,69,No,FALSE,-129.95,-8.75,-190.81,44.85,249,500,251
Will Shipley,RB,70,No,FALSE,-131.45,-10.25,-192.31,43.35,250,220.7,-29.3
Trevor Etienne,RB,71,No,FALSE,-131.50,-10.3,-192.36,43.3,251,293.9,42.9
Russell Wilson,QB,30,No,FALSE,-134.00,0,-166.74,144.9,252,251.7,-0.3
Antonio Gibson,RB,72,No,FALSE,-136.80,-15.6,-197.66,38,253,,-253
Woody Marks,RB,73,No,FALSE,-140.85,-19.65,-201.71,33.95,254,250.7,-3.3
Jonathan Mingo,WR,113,No,FALSE,-151.80,-74.65,-209.27,17.4,255,500,245
Isaac TeSlaa,WR,114,Yes,FALSE,-160.00,-82.85,-217.47,9.2,256,279.6,23.6
Tyler Shough,QB,31,Yes,FALSE,-203.50,-69.5,-236.24,75.4,257,255.2,-1.8
Jaxson Dart,QB,32,Yes,FALSE,-213.85,-79.85,-246.59,65.05,258,241,-17
Joe Flacco,QB,33,No,FALSE,-214.20,-80.2,-246.94,64.7,259,284.5,25.5
Daniel Jones,QB,34,No,FALSE,-224.60,-90.6,-257.34,54.3,260,259.1,-0.9
