Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV,
Hollywood Brown,WR,58,No,FALSE,-25.35,70.1,-77.23,152.1,144,194.8,50.8,
Zach Charbonnet,RB,37,No,FALSE,-25.40,92.5,-94.00,141.8,145,113.7,-31.3,
Elijah Arroyo,TE,29,Yes,FALSE,-26.10,-2.35,-62.71,113.75,146,186.4,40.4,
Quinshon Judkins,RB,38,Yes,FALSE,-26.45,91.45,-95.05,140.75,147,76.3,-70.7,
Dalton Schultz,TE,30,No,FALSE,-26.65,-2.9,-63.26,113.2,148,228.6,80.6,
Cam Ward,QB,23,Yes,FALSE,-28.80,101.9,-60.31,256.35,149,163.1,14.1,
Cam Skattebo,RB,39,No,FALSE,-31.30,86.6,-99.90,135.9,150,99.1,-50.9,
Javonte Williams,RB,40,No,FALSE,-31.45,86.45,-100.05,135.75,151,109.2,-41.8,
Wan'Dale Robinson,WR,59,No,FALSE,-31.50,63.95,-83.38,145.95,152,195.3,43.3,
Isaiah Likely,TE,31,No,FALSE,-32.00,-8.25,-68.61,107.85,153,167.8,14.8,
Jordan Mason,RB,41,No,FALSE,-32.50,85.4,-101.10,134.7,154,107,-47,
Ja'Tavion Sanders,TE,32,No,FALSE,-33.10,-9.35,-69.71,106.75,155,257.7,102.7,
Michael Penix,QB,24,No,FALSE,-33.30,97.4,-64.81,251.85,156,183.4,27.4,
Geno Smith,QB,25,No,FALSE,-36.10,94.6,-67.61,249.05,157,241.6,84.6,
DeMario Douglas,WR,60,No,FALSE,-37.65,57.8,-89.53,139.8,158,209.6,51.6,
Rashod Bateman,WR,61,No,FALSE,-39.25,56.2,-91.13,138.2,159,165.7,6.7,
Matthew Stafford,QB,26,No,FALSE,-43.15,87.55,-74.66,242,160,211.9,51.9,
Rachaad White,RB,42,No,FALSE,-43.90,74,-112.50,123.3,161,156.2,-4.8,
Trey Benson,RB,43,No,FALSE,-44.45,73.45,-113.05,122.75,162,162.5,0.5,
Tank Bigsby,RB,44,No,FALSE,-46.40,71.5,-115.00,120.8,163,146.1,-16.9,
Xavier Legette,WR,62,No,FALSE,-46.90,48.55,-98.78,130.55,164,191.5,27.5,
Joshua Palmer,WR,63,No,FALSE,-47.95,47.5,-99.83,129.5,165,190,25,
Sam Darnold,QB,27,No,FALSE,-48.00,82.7,-79.51,237.15,166,219.8,53.8,
Romeo Doubs,WR,64,No,FALSE,-48.95,46.5,-100.83,128.5,167,218.4,51.4,
Christian Kirk,WR,65,No,FALSE,-49.75,45.7,-101.63,127.7,168,164.2,-3.8,
Aaron Rodgers,QB,28,No,FALSE,-50.20,80.5,-81.71,234.95,169,215.5,46.5,
Jerome Ford,RB,45,No,FALSE,-52.90,65,-121.50,114.3,170,184,14,
Jaydon Blue,RB,46,No,FALSE,-53.75,64.15,-122.35,113.45,171,144.5,-26.5,
Najee Harris,RB,47,No,FALSE,-55.30,62.6,-123.90,111.9,172,138.3,-33.7,
Tre' Harris,WR,66,Yes,FALSE,-56.45,39,-108.33,121,173,148.9,-24.1,
Brandon Aiyuk,WR,67,No,FALSE,-56.75,38.7,-108.63,120.7,174,122.1,-51.9,
Luther Burden,WR,68,Yes,FALSE,-59.25,36.2,-111.13,118.2,175,153.7,-21.3,
Tyler Lockett,WR,69,No,FALSE,-60.05,35.4,-111.93,117.4,176,222.2,46.2,
tyler Allgeier,RB,48,No,FALSE,-60.95,56.95,-129.55,106.25,177,187.4,10.4,
Jaylen Wright,RB,49,No,FALSE,-61.35,56.55,-129.95,105.85,178,192.1,14.1,
Michael Wilson,WR,70,No,FALSE,-61.65,33.8,-113.53,115.8,179,258.8,79.8,
Noah Fant,TE,33,No,FALSE,-62.60,-38.85,-99.21,77.25,180,298.9,118.9,
Darius Slayton,WR,71,No,FALSE,-62.65,32.8,-114.53,114.8,181,263.9,82.9,
Noah Gray,TE,34,No,FALSE,-65.10,-41.35,-101.71,74.75,182,269.1,87.1,
Josh Reynolds,WR,72,No,FALSE,-66.25,29.2,-118.13,111.2,183,500,317,
Nick Chubb,RB,50,No,FALSE,-66.95,50.95,-135.55,100.25,184,137.2,-46.8,
Ray Davis,RB,51,No,FALSE,-67.10,50.8,-135.70,100.1,185,174.5,-10.5,
Nick Westbrook-Ikhine,WR,73,No,FALSE,-68.55,26.9,-120.43,108.9,186,500,314,
Brandin Cooks,WR,74,No,FALSE,-69.05,26.4,-120.93,108.4,187,,-187,
Justice Hill,RB,52,No,FALSE,-69.70,48.2,-138.30,97.5,188,226.9,38.9,
Dyami Brown,WR,75,No,FALSE,-69.95,25.5,-121.83,107.5,189,256.1,67.1,
Rico Dowdle,RB,53,No,FALSE,-70.90,47,-139.50,96.3,190,198.9,8.9,
Will Dissly,TE,35,No,FALSE,-71.10,-47.35,-107.71,68.75,191,,-191,
Tutu Atwell,WR,76,No,FALSE,-72.65,22.8,-124.53,104.8,192,287.2,95.2,
Harold Fannin,TE,36,Yes,FALSE,-77.10,-53.35,-113.71,62.75,193,265.7,72.7,
Quentin Johnston,WR,77,No,FALSE,-78.95,16.5,-130.83,98.5,194,227.1,33.1,
Braelon Allen,RB,54,No,FALSE,-81.05,36.85,-149.65,86.15,195,178.9,-16.1,
Roschon Johnson,RB,55,No,FALSE,-81.30,36.6,-149.90,85.9,196,223.9,27.9,
Jack Bech,WR,78,Yes,FALSE,-82.05,13.4,-133.93,95.4,197,193.2,-3.8,
Dylan Sampson,RB,56,No,FALSE,-85.80,32.1,-154.40,81.4,198,181.6,-16.4,
Kareem Hunt,RB,57,No,FALSE,-86.40,31.5,-155.00,80.8,199,195.4,-3.6,
Bhayshul Tuten,RB,58,No,FALSE,-87.05,30.85,-155.65,80.15,200,173.8,-26.2,
Terrance Ferguson,TE,37,Yes,FALSE,-87.05,-63.3,-123.66,52.8,201,261.5,60.5,
Calvin Austin,WR,79,No,FALSE,-87.95,7.5,-139.83,89.5,202,251.3,49.3,
Tyler Conklin,TE,38,No,FALSE,-88.10,-64.35,-124.71,51.75,203,289.2,86.2,
Cole Kmet,TE,39,No,FALSE,-88.85,-65.1,-125.46,51,204,271.8,67.8,
DeAndre Hopkins,WR,80,No,FALSE,-90.60,4.85,-142.48,86.85,205,199.4,-5.6,
Marshawn Lloyd,RB,59,No,FALSE,-90.80,27.1,-159.40,76.4,206,263.6,57.6,
Kyle Williams,WR,81,Yes,FALSE,-91.45,4,-143.33,86,207,171.6,-35.4,
Daniel Jones,QB,29,No,FALSE,-92.40,38.3,-123.91,192.75,208,278.3,70.3,
Adonai Mitchell,WR,82,No,FALSE,-93.05,2.4,-144.93,84.4,209,248.3,39.3,
Dont'e Thornton,WR,83,No,FALSE,-94.75,0.7,-146.63,82.7,210,181.6,-28.4,
Brian Robinson,RB,60,No,FALSE,-94.95,22.95,-163.55,72.25,211,83.4,-127.6,
Miles Sanders,RB,61,No,FALSE,-95.10,22.8,-163.70,72.1,212,246.6,34.6,
Tre Tucker,WR,84,No,FALSE,-95.45,0,-147.33,82,213,,-213,
Noah Brown,WR,85,No,FALSE,-100.75,-5.3,-152.63,76.7,214,500,286,
Woody Marks,RB,62,No,FALSE,-101.20,16.7,-169.80,66,215,213.9,-1.1,
Will Shipley,RB,63,No,FALSE,-101.70,16.2,-170.30,65.5,216,223.4,7.4,
Allen Lazard,WR,86,No,FALSE,-104.55,-9.1,-156.43,72.9,217,500,283,
Kavontae Turpin,WR,87,No,FALSE,-104.75,-9.3,-156.63,72.7,218,500,282,
Kendre Miller,RB,64,No,FALSE,-105.00,12.9,-173.60,62.2,219,265,46,
Jalen Tolbert,WR,88,No,FALSE,-105.25,-9.8,-157.13,72.2,220,,-220,
Andrei Iosivas,WR,89,No,FALSE,-106.25,-10.8,-158.13,71.2,221,263.4,42.4,
Alec Pierce,WR,90,No,FALSE,-106.45,-11,-158.33,71,222,247.5,25.5,
Pat Bryant,WR,91,Yes,FALSE,-110.85,-15.4,-162.73,66.6,223,225.8,2.8,
Ty Johnson,RB,65,No,FALSE,-112.70,5.2,-181.30,54.5,224,,-224,
Jalen Coker,WR,92,No,FALSE,-112.95,-17.5,-164.83,64.5,225,255.1,30.1,
Van Jefferson,WR,93,No,FALSE,-115.85,-20.4,-167.73,61.6,226,500,274,
Greg Dortch,WR,94,No,FALSE,-117.75,-22.3,-169.63,59.7,227,500,273,
Blake Corum,RB,66,No,FALSE,-117.90,0,-186.50,49.3,228,221.1,-6.9,
Jordan Whittington,WR,95,No,FALSE,-118.65,-23.2,-170.53,58.8,229,287.3,58.3,
Jalen Nailor,WR,96,No,FALSE,-118.85,-23.4,-170.73,58.6,230,,-230,
Devaughn Vele,WR,97,No,FALSE,-120.85,-25.4,-172.73,56.6,231,,-231,
Raheem Mostert,RB,67,No,FALSE,-121.30,-3.4,-189.90,45.9,232,244.4,12.4,
Isaac Guerendo,RB,68,No,FALSE,-121.35,-3.45,-189.95,45.85,233,167.7,-65.3,
Troy Franklin,WR,98,No,FALSE,-122.45,-27,-174.33,55,234,279,45,
Malik Washington,WR,98,No,FALSE,-122.45,-27,-174.33,55,234,,-234,
Elic Ayomanor,WR,100,No,FALSE,-125.45,-30,-177.33,52,236,216.7,-19.3,
Tyler Shough,QB,30,Yes,FALSE,-130.70,0,-162.21,154.45,237,272.2,35.2,
Curtis Samuel,WR,101,No,FALSE,-131.45,-36,-183.33,46,238,500,262,
Chimere Dike,WR,102,No,FALSE,-132.45,-37,-184.33,45,239,,-239,
Tory Horton,WR,103,No,FALSE,-133.45,-38,-185.33,44,240,237.6,-2.4,
Russell Wilson,QB,31,No,FALSE,-134.95,-4.25,-166.46,150.2,241,259.9,18.9,
Demarcus Robinson,WR,104,No,FALSE,-135.45,-40,-187.33,42,242,500,258,
Devin Neal,RB,69,No,FALSE,-140.20,-22.3,-208.80,27,243,262,19,
Tai Felton,WR,105,Yes,FALSE,-141.45,-46,-193.33,36,244,,-244,
Jaylin Noel,WR,106,Yes,FALSE,-144.45,-49,-196.33,33,245,253.7,8.7,
Trevor Etienne,RB,70,No,FALSE,-145.60,-27.7,-214.20,21.6,246,286.8,40.8,
Jalen McMillan,WR,107,No,FALSE,-147.05,-51.6,-198.93,30.4,247,200.8,-46.2,
Marquez Valdes-Scantling,WR,108,No,FALSE,-149.45,-54,-201.33,28,248,289.8,41.8,
Jaleel Mclaughlin,RB,71,No,FALSE,-151.20,-33.3,-219.80,16,249,281.8,32.8,
Dontayvion Wicks,WR,109,No,FALSE,-152.45,-57,-204.33,25,250,275.8,25.8,
Malachi Corley,WR,109,No,FALSE,-152.45,-57,-204.33,25,250,500,250,
Isaac TeSlaa,WR,111,Yes,FALSE,-164.45,-69,-216.33,13,252,234.4,-17.6,
Joe Flacco,QB,32,No,FALSE,-167.10,-36.4,-198.61,118.05,253,278,25,
Zack Moss,RB,72,No,FALSE,-167.20,-49.3,-235.80,0,254,292.4,38.4,
Jalen Royals,WR,112,No,FALSE,-167.45,-72,-219.33,10,255,249,-6,
Amari Cooper,WR,113,No,FALSE,-177.45,-82,-229.33,0,256,258.8,2.8,
Gabe Davis,WR,113,No,FALSE,-177.45,-82,-229.33,0,256,500,244,
Anthony Richardson,QB,33,No,FALSE,-184.80,-54.1,-216.31,100.35,258,243.5,-14.5,
Jaxson Dart,QB,34,Yes,FALSE,-190.15,-59.45,-221.66,95,259,239.1,-19.9,
