Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV
Ja'Marr Chase,WR,1,No,FALSE,159.90,241.8,105.96,333.85,1,1,0
Bijan Robinson,RB,1,No,FALSE,153.70,262.2,82.37,315.8,2,4.6,2.6
Saquon Barkley,RB,2,No,FALSE,148.20,256.7,76.87,310.3,3,2.6,-0.4
Jahmyr Gibbs,RB,3,No,FALSE,144.80,253.3,73.47,306.9,4,5.3,1.3
Justin Jefferson,WR,2,No,FALSE,134.75,216.65,80.81,308.7,5,3.8,-1.2
Christian McCaffrey,RB,4,No,FALSE,133.70,242.2,62.37,295.8,6,15.5,9.5
CeeDee Lamb,WR,3,No,FALSE,127.65,209.55,73.71,301.6,7,5.7,-1.3
Puka Nacua,WR,4,No,FALSE,124.75,206.65,70.81,298.7,8,8,0
De'Von Achane,RB,5,No,FALSE,120.90,229.4,49.57,283,9,16.6,7.6
Ashton Jeanty,RB,6,Yes,FALSE,116.20,224.7,44.87,278.3,10,13.8,3.8
Derrick Henry,RB,7,No,FALSE,110.30,218.8,38.97,272.4,11,10.7,-0.3
Amon-Ra St. Brown,WR,5,No,FALSE,108.20,190.1,54.26,282.15,12,7,-5
Malik Nabers,WR,6,No,FALSE,107.85,189.75,53.91,281.8,13,9.5,-3.5
Jonathan Taylor,RB,8,No,FALSE,107.40,215.9,36.07,269.5,14,25.6,11.6
Josh Jacobs,RB,9,No,FALSE,106.60,215.1,35.27,268.7,15,22.8,7.8
Brock Bowers,TE,1,No,FALSE,105.15,128.05,72.46,245.4,16,14.9,-1.1
Trey McBride,TE,2,No,FALSE,104.60,127.5,71.91,244.85,17,23.4,6.4
Bucky Irving,RB,10,No,FALSE,103.20,211.7,31.87,265.3,18,19.1,1.1
Nico Collins,WR,7,No,FALSE,99.45,181.35,45.51,273.4,19,11.3,-7.7
Brian Thomas,WR,8,No,FALSE,96.25,178.15,42.31,270.2,20,11.5,-8.5
Kyren Williams,RB,11,No,FALSE,90.20,198.7,18.87,252.3,21,29.2,8.2
A.J. Brown,WR,9,No,FALSE,85.55,167.45,31.61,259.5,22,17.4,-4.6
James Cook,RB,12,No,FALSE,84.20,192.7,12.87,246.3,23,35.4,12.4
Drake London,WR,10,No,FALSE,82.80,164.7,28.86,256.75,24,17.8,-6.2
Josh Allen,QB,1,No,FALSE,81.20,215.2,48.46,360.1,25,21.2,-3.8
Jayden Daniels,QB,2,No,FALSE,79.05,213.05,46.31,357.95,26,29.6,3.6
Chase Brown,RB,13,No,FALSE,78.60,187.1,7.27,240.7,27,31.3,4.3
Tyreek Hill,WR,11,No,FALSE,78.05,159.95,24.11,252,28,27.8,-0.2
Ladd McConkey,WR,12,No,FALSE,78.00,159.9,24.06,251.95,29,20.7,-8.3
Alvin Kamara,RB,14,No,FALSE,77.70,186.2,6.37,239.8,30,43.8,13.8
Lamar Jackson,QB,3,No,FALSE,77.25,211.25,44.51,356.15,31,23.9,-7.1
George Kittle,TE,3,No,FALSE,76.55,99.45,43.86,216.8,32,39.2,7.2
Chuba Hubbard,RB,15,No,FALSE,74.55,183.05,3.22,236.65,33,47.5,14.5
