Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV
James Conner,RB,16,No,FALSE,73.85,182.35,2.52,235.95,34,53.3,19.3
Jalen Hurts,QB,4,No,FALSE,73.45,207.45,40.71,352.35,35,38.3,3.3
Joe Mixon,RB,17,No,FALSE,73.15,181.65,1.82,235.25,36,47,11
Terry McLaurin,WR,13,No,FALSE,69.60,151.5,15.66,243.55,37,33.2,-3.8
Tee Higgins,WR,14,No,FALSE,68.25,150.15,14.31,242.2,38,28,-10
Omarion Hampton,RB,18,Yes,FALSE,66.30,174.8,-5.03,228.4,39,44.3,5.3
Rashee Rice,WR,15,No,FALSE,64.00,145.9,10.06,237.95,40,41.4,1.4
Breece Hall,RB,19,No,FALSE,63.75,172.25,-7.58,225.85,41,34.4,-6.6
Davante Adams,WR,16,No,FALSE,63.30,145.2,9.36,237.25,42,40.5,-1.5
Mike Evans,WR,17,No,FALSE,60.90,142.8,6.96,234.85,43,37.6,-5.4
Kenneth Walker,RB,20,No,FALSE,59.50,168,-11.83,221.6,44,46.7,2.7
Jaxon Smith-Njigba,WR,18,No,FALSE,58.65,140.55,4.71,232.6,45,26.1,-18.9
Garrett Wilson,WR,19,No,FALSE,58.35,140.25,4.41,232.3,46,32.8,-13.2
DJ Moore,WR,20,No,FALSE,50.45,132.35,-3.49,224.4,47,45.4,-1.6
DK Metcalf,WR,21,No,FALSE,50.40,132.3,-3.54,224.35,48,49.9,1.9
Marvin Harrison,WR,22,No,FALSE,49.20,131.1,-4.74,223.15,49,35.5,-13.5
Courtland Sutton,WR,23,No,FALSE,49.00,130.9,-4.94,222.95,50,50.4,0.4
Joe Burrow,QB,5,No,FALSE,48.00,182,15.26,326.9,51,41.7,-9.3
Sam LaPorta,TE,4,No,FALSE,46.10,69,13.41,186.35,52,51.4,-0.6
Xavier Worthy,WR,24,No,FALSE,44.60,126.5,-9.34,218.55,53,55.7,2.7
Patrick Mahomes,QB,6,No,FALSE,42.25,176.25,9.51,321.15,54,61,7
Calvin Ridley,WR,25,No,FALSE,40.90,122.8,-13.04,214.85,55,76.8,21.8
RJ Harvey,RB,21,Yes,FALSE,40.32,148.82,-31.01,202.42,56,59.3,3.3
Quinshon Judkins,RB,22,Yes,FALSE,40.00,148.5,-31.33,202.1,57,67.4,10.4
DeVonta Smith,WR,26,No,FALSE,39.90,121.8,-14.04,213.85,58,53,-5
Zay Flowers,WR,27,No,FALSE,39.60,121.5,-14.34,213.55,59,52.1,-6.9
D'Andre Swift,RB,23,No,FALSE,39.40,147.9,-31.93,201.5,60,77.4,17.4
Travis Hunter,WR,28,Yes,FALSE,38.75,120.65,-15.19,212.7,61,63.2,2.2
T.J. Hockenson,TE,5,No,FALSE,37.80,60.7,5.11,178.05,62,56.2,-5.8
Tony Pollard,RB,24,No,FALSE,37.40,145.9,-33.93,199.5,63,75.3,12.3
Jerry Jeudy,WR,29,No,FALSE,37.10,119,-16.84,211.05,64,74.5,10.5
Jaylen Waddle,WR,29,No,FALSE,37.10,119,-16.84,211.05,64,65.8,1.8
George Pickens,WR,31,No,FALSE,36.95,118.85,-16.99,210.9,66,59.4,-6.6
Aaron Jones,RB,25,No,FALSE,36.05,144.55,-35.28,198.15,67,69.3,2.3
Jameson Williams,WR,32,No,FALSE,34.90,116.8,-19.04,208.85,68,58.4,-9.6
Jordan Addison,WR,33,No,FALSE,33.80,115.7,-20.14,207.75,69,68.3,-0.7
David Montgomery,RB,26,No,FALSE,33.80,142.3,-37.53,195.9,69,57.1,-11.9
Isiah Pacheco,RB,27,No,FALSE,32.40,140.9,-38.93,194.5,71,64.8,-6.2
Tetairoa McMillan,WR,34,Yes,FALSE,32.10,114,-21.84,206.05,72,62.2,-9.8
TreVeyon Henderson,RB,28,Yes,FALSE,31.60,140.1,-39.73,193.7,73,70.7,-2.3
Travis Kelce,TE,6,No,FALSE,30.50,53.4,-2.19,170.75,74,73.2,-0.8
Rome Odunze,WR,35,No,FALSE,30.40,112.3,-23.54,204.35,75,77.3,2.3
Jakobi Meyers,WR,36,No,FALSE,28.85,110.75,-25.09,202.8,76,85.6,9.6
Baker Mayfield,QB,7,No,FALSE,28.60,162.6,-4.14,307.5,77,71.4,-5.6
Mark Andrews,TE,7,No,FALSE,28.20,51.1,-4.49,168.45,78,83.6,5.6
Kaleb Johnson,RB,29,Yes,FALSE,27.10,135.6,-44.23,189.2,79,81.4,2.4
Bo Nix,QB,8,No,FALSE,26.70,160.7,-6.04,305.6,80,79.6,-0.4
David Njoku,TE,8,No,FALSE,26.70,49.6,-5.99,166.95,81,99.3,18.3
Brock Purdy,QB,9,No,FALSE,26.20,160.2,-6.54,305.1,82,107.5,25.5
Jauan Jennings,WR,37,No,FALSE,25.10,107,-28.84,199.05,83,95.4,12.4
Jaylen Warren,RB,30,No,FALSE,22.00,130.5,-49.33,184.1,84,89.5,5.5
Kyler Murray,QB,10,No,FALSE,19.95,153.95,-12.79,298.85,85,97.6,12.6
Chris Olave,WR,38,No,FALSE,19.00,100.9,-34.94,192.95,86,65.1,-20.9
Chris Godwin,WR,39,No,FALSE,18.10,100,-35.84,192.05,87,71.7,-15.3
Evan Engram,TE,9,No,FALSE,17.75,40.65,-14.94,158,88,89.5,1.5
Khalil Shakir,WR,40,No,FALSE,15.50,97.4,-38.44,189.45,89,83.2,-5.8
Deebo Samuel,WR,41,No,FALSE,15.45,97.35,-38.49,189.4,90,87.4,-2.6
Tyrone Tracy,RB,31,No,FALSE,14.20,122.7,-57.13,176.3,91,82,-9
Matthew Golden,WR,42,Yes,FALSE,13.95,95.85,-39.99,187.9,92,101.4,9.4
Cooper Kupp,WR,43,No,FALSE,13.55,95.45,-40.39,187.5,93,88.9,-4.1
Brian Robinson,RB,32,No,FALSE,12.70,121.2,-58.63,174.8,94,86,-8
Dallas Goedert,TE,10,No,FALSE,11.85,34.75,-20.84,152.1,95,124.4,29.4
Colston Loveland,TE,11,Yes,FALSE,10.70,33.6,-21.99,150.95,96,109.6,13.6
Justin Fields,QB,11,No,FALSE,9.85,143.85,-22.89,288.75,97,125.5,28.5
Ricky Pearsall,WR,44,No,FALSE,9.40,91.3,-44.54,183.35,98,101.4,3.4
Tucker Kraft,TE,12,No,FALSE,8.40,31.3,-24.29,148.65,99,118.1,19.1
Jake Ferguson,TE,13,No,FALSE,6.85,29.75,-25.84,147.1,100,121.6,21.6
Jonnu Smith,TE,14,No,FALSE,6.05,28.95,-26.64,146.3,101,80.8,-20.2
Tyler Warren,TE,15,Yes,FALSE,5.80,28.7,-26.89,146.05,102,100.5,-1.5
Justin Herbert,QB,12,No,FALSE,4.05,138.05,-28.69,282.95,103,106.1,3.1
J.J. McCarthy,QB,13,No,FALSE,3.90,137.9,-28.84,282.8,104,136.3,32.3
Jayden Reed,WR,45,No,FALSE,3.60,85.5,-50.34,177.55,105,98.8,-6.2
Dak Prescott,QB,14,No,FALSE,1.95,135.95,-30.79,280.85,106,125.8,19.8
Rashid Shaheed,WR,46,No,FALSE,1.40,83.3,-52.54,175.35,107,130.6,23.6
Caleb Williams,QB,15,No,FALSE,1.40,135.4,-31.34,280.3,108,115,7
Travis Etienne,RB,33,No,FALSE,0.00,108.5,-71.33,162.1,109,95.4,-13.6
Michael Pittman,WR,47,No,FALSE,0.00,81.9,-53.94,173.95,109,112.2,3.2
C.J. Stroud,QB,16,No,FALSE,0.00,134,-32.74,278.9,109,123.7,14.7
Hunter Henry,TE,16,No,FALSE,0.00,22.9,-32.69,140.25,109,165.1,56.1
Dalton Kincaid,TE,17,No,FALSE,-0.55,22.35,-33.24,139.7,113,116.7,3.7
Darren Waller,TE,18,No,FALSE,-1.80,21.1,-34.49,138.45,114,245.8,131.8
Jared Goff,QB,17,No,FALSE,-1.95,132.05,-34.69,276.95,115,94.3,-20.7
Trevor Lawrence,QB,18,No,FALSE,-2.10,131.9,-34.84,276.8,116,151.5,35.5
Drake Maye,QB,19,No,FALSE,-2.30,131.7,-35.04,276.6,117,128.3,11.3
Javonte Williams,RB,34,No,FALSE,-3.20,105.3,-74.53,158.9,118,105.4,-12.6
Zach Ertz,TE,19,No,FALSE,-3.45,19.45,-36.14,136.8,119,149.1,30.1
Rhamondre Stevenson,RB,35,No,FALSE,-4.00,104.5,-75.33,158.1,120,107.7,-12.3
Darnell Mooney,WR,48,No,FALSE,-4.75,77.15,-58.69,169.2,121,110.9,-10.1
Mike Gesicki,TE,20,No,FALSE,-6.85,16.05,-39.54,133.4,122,173.2,51.2
Stefon Diggs,WR,49,No,FALSE,-7.50,74.4,-61.44,166.45,123,93.6,-29.4
Kyle Pitts,TE,21,No,FALSE,-8.60,14.3,-41.29,131.65,124,137.2,13.2
Keon Coleman,WR,50,No,FALSE,-9.15,72.75,-63.09,164.8,125,119.4,-5.6
Josh Downs,WR,51,No,FALSE,-9.50,72.4,-63.44,164.45,126,104.2,-21.8
Pat Freiermuth,TE,22,No,FALSE,-10.10,12.8,-42.79,130.15,127,153.9,26.9
Jordan Love,QB,20,No,FALSE,-12.05,121.95,-44.79,266.85,128,122.6,-5.4
Brenton Strange,TE,23,No,FALSE,-13.00,9.9,-45.69,127.25,129,167.3,38.3
Chig Okonkwo,TE,24,No,FALSE,-14.45,8.45,-47.14,125.8,130,213.2,83.2
Jayden Higgins,WR,52,Yes,FALSE,-14.80,67.1,-68.74,159.15,131,117.5,-13.5
Cade Otton,TE,25,No,FALSE,-15.35,7.55,-48.04,124.9,132,185.4,53.4
Marvin Mims,WR,53,No,FALSE,-15.90,66,-69.84,158.05,133,133,0
Cam Skattebo,RB,36,No,FALSE,-16.35,92.15,-87.68,145.75,134,103.9,-30.1
Tua Tagovailoa,QB,21,No,FALSE,-17.10,116.9,-49.84,261.8,135,177.7,42.7
J.K. Dobbins,RB,37,No,FALSE,-17.85,90.65,-89.18,144.25,136,139.9,3.9
Matthew Stafford,QB,22,No,FALSE,-19.05,114.95,-51.79,259.85,137,171.7,34.7
Jack Bech,WR,54,Yes,FALSE,-19.45,62.45,-73.39,154.5,138,140.7,2.7
Austin Ekeler,RB,38,No,FALSE,-20.35,88.15,-91.68,141.75,139,143.3,4.3
Dalton Schultz,TE,26,No,FALSE,-20.50,2.4,-53.19,119.75,140,217.3,77.3
Adam Thielen,WR,55,No,FALSE,-20.85,61.05,-74.79,153.1,141,166.2,25.2
Bryce Young,QB,23,No,FALSE,-22.60,111.4,-55.34,256.3,142,182.3,40.3
Mason Taylor,TE,27,Yes,FALSE,-22.90,0,-55.59,117.35,143,172.1,29.1
Geno Smith,QB,24,No,FALSE,-24.55,109.45,-57.29,254.35,144,205.4,61.4
Cameron Ward,QB,25,Yes,FALSE,-25.25,108.75,-57.99,253.65,145,152.2,7.2
Tyjae Spears,RB,39,No,FALSE,-27.35,81.15,-98.68,134.75,146,119.1,-26.9
Emeka Egbuka,WR,56,Yes,FALSE,-28.00,53.9,-81.94,145.95,147,113.6,-33.4
Michael Penix,QB,26,No,FALSE,-28.30,105.7,-61.04,250.6,148,167.7,19.7
Najee Harris,RB,40,No,FALSE,-29.45,79.05,-100.78,132.65,149,91.4,-57.6
Isaiah Likely,TE,28,No,FALSE,-29.45,-6.55,-62.14,110.8,150,145.8,-4.2
Sam Darnold,QB,27,No,FALSE,-30.25,103.75,-62.99,248.65,151,209.3,58.3
Tre' Harris,WR,57,Yes,FALSE,-30.30,51.6,-84.24,143.65,152,129.4,-22.6
Wan'Dale Robinson,WR,58,No,FALSE,-32.20,49.7,-86.14,141.75,153,170.2,17.2
Theo Johnson,TE,29,No,FALSE,-32.55,-9.65,-65.24,107.7,154,230,76
Jordan Mason,RB,41,No,FALSE,-33.50,75,-104.83,128.6,155,113.6,-41.4
Hollywood Brown,WR,59,No,FALSE,-34.50,47.4,-88.44,139.45,156,154.2,-1.8
Rashod Bateman,WR,60,No,FALSE,-36.00,45.9,-89.94,137.95,157,143.2,-13.8
Cedric Tillman,WR,61,No,FALSE,-37.00,44.9,-90.94,136.95,158,164.8,6.8
Ja'Tavion Sanders,TE,30,No,FALSE,-37.00,-14.1,-69.69,103.25,158,226.7,68.7
Noah Fant,TE,31,No,FALSE,-39.55,-16.65,-72.24,100.7,160,287.4,127.4
Zach Charbonnet,RB,42,No,FALSE,-40.90,67.6,-112.23,121.2,161,111.4,-49.6
Juwan Johnson,TE,32,No,FALSE,-41.60,-18.7,-74.29,98.65,162,239.2,77.2
Luther Burden,WR,62,Yes,FALSE,-43.05,38.85,-96.99,130.9,163,131.3,-31.7
Christian Kirk,WR,63,No,FALSE,-43.10,38.8,-97.04,130.85,164,142.1,-21.9
Aaron Rodgers,QB,28,No,FALSE,-43.20,90.8,-75.94,235.7,165,212.4,47.4
Rachaad White,RB,43,No,FALSE,-44.20,64.3,-115.53,117.9,166,127.8,-38.2
Brandon Aiyuk,WR,64,No,FALSE,-48.00,33.9,-101.94,125.95,167,,-167
Kyle Williams,WR,65,Yes,FALSE,-48.85,33.05,-102.79,125.1,168,137.1,-30.9
Xavier Legette,WR,66,No,FALSE,-49.65,32.25,-103.59,124.3,169,173.3,4.3
Anthony Richardson,QB,29,No,FALSE,-51.90,82.1,-84.64,227,170,215.4,45.4
Tyler Conklin,TE,33,No,FALSE,-52.75,-29.85,-85.44,87.5,171,283,112
Romeo Doubs,WR,67,No,FALSE,-54.30,27.6,-108.24,119.65,172,,-172
DeMario Douglas,WR,68,No,FALSE,-55.45,26.45,-109.39,118.5,173,,-173
Trey Benson,RB,44,No,FALSE,-57.30,51.2,-128.63,104.8,174,147.3,-26.7
Justice Hill,RB,45,No,FALSE,-60.00,48.5,-131.33,102.1,175,211.6,36.6
Will Dissly,TE,34,No,FALSE,-60.40,-37.5,-93.09,79.85,176,671.6,495.6
Tank Bigsby,RB,46,No,FALSE,-60.80,47.7,-132.13,101.3,177,135.8,-41.2
Jalen McMillan,WR,69,No,FALSE,-61.05,20.85,-114.99,112.9,178,,-178
Quentin Johnston,WR,70,No,FALSE,-61.20,20.7,-115.14,112.75,179,,-179
Tyler Allgeier,RB,47,No,FALSE,-61.50,47,-132.83,100.6,180,155.2,-24.8
Darius Slayton,WR,71,No,FALSE,-61.70,20.2,-115.64,112.25,181,,-181
Noah Gray,TE,35,No,FALSE,-62.70,-39.8,-95.39,77.55,182,266,84
Elijah Arroyo,TE,36,Yes,FALSE,-63.00,-40.1,-95.69,77.25,183,238.9,55.9
Jaleel McLaughlin,RB,48,No,FALSE,-65.75,42.75,-137.08,96.35,184,245.9,61.9
Michael Wilson,WR,72,No,FALSE,-65.90,16,-119.84,108.05,185,,-185
Tyler Lockett,WR,73,No,FALSE,-66.40,15.5,-120.34,107.55,186,,-186
Jaydon Blue,RB,49,No,FALSE,-67.40,41.1,-138.73,94.7,187,131.8,-55.2
Ray Davis,RB,49,No,FALSE,-67.40,41.1,-138.73,94.7,187,148.1,-38.9
Nick Westbrook-Ikhine,WR,74,No,FALSE,-69.45,12.45,-123.39,104.5,189,,-189
Joshua Palmer,WR,75,No,FALSE,-69.60,12.3,-123.54,104.35,190,,-190
Calvin Austin III,WR,76,No,FALSE,-71.60,10.3,-125.54,102.35,191,,-191
Isaac Guerendo,RB,51,No,FALSE,-72.40,36.1,-143.73,89.7,192,141.5,-50.5
Cole Kmet,TE,37,No,FALSE,-73.85,-50.95,-106.54,66.4,193,239.3,46.3
Bhayshul Tuten,RB,52,No,FALSE,-75.85,32.65,-147.18,86.25,194,134.1,-59.9
Allen Lazard,WR,77,No,FALSE,-76.20,5.7,-130.14,97.75,195,,-195
Rico Dowdle,RB,53,No,FALSE,-76.20,32.3,-147.53,85.9,195,146.3,-48.7
Alec Pierce,WR,78,No,FALSE,-77.30,4.6,-131.24,96.65,197,,-197
Brandin Cooks,WR,79,No,FALSE,-78.10,3.8,-132.04,95.85,198,,-198
Jalen Tolbert,WR,80,No,FALSE,-78.45,3.45,-132.39,95.5,199,,-199
Pat Bryant,WR,81,Yes,FALSE,-78.55,3.35,-132.49,95.4,200,,-200
Roschon Johnson,RB,54,No,FALSE,-78.60,29.9,-149.93,83.5,201,,-201
Tutu Atwell,WR,82,No,FALSE,-78.80,3.1,-132.74,95.15,202,,-202
Jalen Coker,WR,83,No,FALSE,-79.35,2.55,-133.29,94.6,203,,-203
Jaylen Wright,RB,55,No,FALSE,-79.90,28.6,-151.23,82.2,204,175.9,-28.1
Jerome Ford,RB,56,No,FALSE,-80.85,27.65,-152.18,81.25,205,179,-26
Kendre Miller,RB,57,No,FALSE,-81.30,27.2,-152.63,80.8,206,,-206
Nick Chubb,RB,58,No,FALSE,-81.60,26.9,-152.93,80.5,207,,-207
Jordan Whittington,WR,84,No,FALSE,-81.90,0,-135.84,92.05,208,,-208
DeAndre Hopkins,WR,85,No,FALSE,-82.15,-0.25,-136.09,91.8,209,,-209
Kareem Hunt,RB,59,No,FALSE,-82.80,25.7,-154.13,79.3,210,,-210
Harold Fannin Jr.,TE,38,No,FALSE,-83.90,-61,-116.59,56.35,211,268.8,57.8
Adonai Mitchell,WR,86,No,FALSE,-84.15,-2.25,-138.09,89.8,212,,-212
Kavontae Turpin,WR,87,No,FALSE,-86.95,-5.05,-140.89,87,213,,-213
Terrance Ferguson,TE,39,Yes,FALSE,-87.30,-64.4,-119.99,52.95,214,219.7,5.7
Braelon Allen,RB,60,No,FALSE,-87.35,21.15,-158.68,74.75,215,,-215
Dyami Brown,WR,88,No,FALSE,-91.85,-9.95,-145.79,82.1,216,,-216
Jaylin Noel,WR,89,Yes,FALSE,-94.25,-12.35,-148.19,79.7,217,,-217
Josh Reynolds,WR,90,No,FALSE,-94.75,-12.85,-148.69,79.2,218,,-218
Dylan Sampson,RB,61,No,FALSE,-95.80,12.7,-167.13,66.3,219,,-219
Blake Corum,RB,62,No,FALSE,-96.65,11.85,-167.98,65.45,220,,-220
Troy Franklin,WR,91,No,FALSE,-98.25,-16.35,-152.19,75.7,221,,-221
Andrei Iosivas,WR,92,No,FALSE,-98.90,-17,-152.84,75.05,222,,-222
Raheem Mostert,RB,63,No,FALSE,-99.45,9.05,-170.78,62.65,223,,-223
Noah Brown,WR,93,No,FALSE,-100.10,-18.2,-154.04,73.85,224,,-224
Keenan Allen,WR,94,No,FALSE,-100.75,-18.85,-154.69,73.2,225,,-225
Demarcus Robinson,WR,95,No,FALSE,-102.15,-20.25,-156.09,71.8,226,,-226
Marshawn Lloyd,RB,64,No,FALSE,-103.90,4.6,-175.23,58.2,227,,-227
Tre Tucker,WR,96,No,FALSE,-105.80,-23.9,-159.74,68.15,228,,-228
Devin Neal,RB,65,No,FALSE,-106.15,2.35,-177.48,55.95,229,,-229
Greg Dortch,WR,97,No,FALSE,-106.75,-24.85,-160.69,67.2,230,,-230
Elic Ayomanor,WR,98,No,FALSE,-108.00,-26.1,-161.94,65.95,231,,-231
Ty Johnson,RB,66,No,FALSE,-108.50,0,-179.83,53.6,232,,-232
Curtis Samuel,WR,99,No,FALSE,-108.95,-27.05,-162.89,65,233,,-233
Miles Sanders,RB,67,No,FALSE,-108.95,-0.45,-180.28,53.15,233,,-233
Jalen Nailor,WR,100,No,FALSE,-109.75,-27.85,-163.69,64.2,235,,-235
Zack Moss,RB,68,No,FALSE,-109.95,-1.45,-181.28,52.15,236,,-236
Jalen Royals,WR,101,No,FALSE,-111.50,-29.6,-165.44,62.45,237,,-237
Dontayvion Wicks,WR,102,No,FALSE,-112.35,-30.45,-166.29,61.6,238,,-238
Malik Washington,WR,103,No,FALSE,-114.10,-32.2,-168.04,59.85,239,,-239
Tai Felton,WR,104,Yes,FALSE,-114.60,-32.7,-168.54,59.35,240,,-240
Marquez Valdes-Scantling,WR,105,No,FALSE,-114.80,-32.9,-168.74,59.15,241,,-241
Chimere Dike,WR,106,No,FALSE,-115.90,-34,-169.84,58.05,242,,-242
Dameon Pierce,RB,69,No,FALSE,-117.25,-8.75,-188.58,44.85,243,,-243
Amari Cooper,WR,107,No,FALSE,-117.45,-35.55,-171.39,56.5,244,,-244
Malachi Corley,WR,108,No,FALSE,-117.95,-36.05,-171.89,56,245,,-245
Devaughn Vele,WR,109,No,FALSE,-118.40,-36.5,-172.34,55.55,246,,-246
Will Shipley,RB,70,No,FALSE,-118.75,-10.25,-190.08,43.35,247,,-247
Trevor Etienne,RB,71,No,FALSE,-118.80,-10.3,-190.13,43.3,248,,-248
Antonio Gibson,RB,72,No,FALSE,-124.10,-15.6,-195.43,38,249,,-249
Van Jefferson,WR,110,No,FALSE,-127.70,-45.8,-181.64,46.25,250,,-250
Gabe Davis,WR,111,No,FALSE,-127.90,-46,-181.84,46.05,251,,-251
Woody Marks,RB,73,No,FALSE,-128.15,-19.65,-199.48,33.95,252,,-252
Tory Horton,WR,112,No,FALSE,-130.95,-49.05,-184.89,43,253,,-253
Russell Wilson,QB,30,No,FALSE,-134.00,0,-166.74,144.9,254,236.1,-17.9
Jonathan Mingo,WR,113,No,FALSE,-156.55,-74.65,-210.49,17.4,255,,-255
Isaac TeSlaa,WR,114,Yes,FALSE,-164.75,-82.85,-218.69,9.2,256,,-256
Tyler Shough,QB,31,Yes,FALSE,-203.50,-69.5,-236.24,75.4,257,263.9,6.9
Jaxson Dart,QB,32,Yes,FALSE,-213.85,-79.85,-246.59,65.05,258,233.3,-24.7
Joe Flacco,QB,33,No,FALSE,-214.20,-80.2,-246.94,64.7,259,301.4,42.4
Daniel Jones,QB,34,No,FALSE,-224.60,-90.6,-257.34,54.3,260,262.1,2.1
